date,data_type,cut,Loc,rep,blk,row,rng,plant_no,name,plant_id,plant_names,plot,value,id_by_plot,id_by_plant_aug
07_12_17,HGT,1,ALF16,1,1,1,1,1,OTTM,1_1_1,ALF16_1_1_1_OTTM,1_1,50,ALF16_1_1_OTTM,ALF16_1_1_1_OTTM
07_12_17,HGT,1,ALF16,1,1,1,1,2,OTTM,1_1_2,ALF16_1_1_2_OTTM,1_1,55,ALF16_1_1_OTTM,ALF16_1_1_2_OTTM
07_12_17,HGT,1,ALF16,1,1,1,1,3,OTTM,1_1_3,ALF16_1_1_3_OTTM,1_1,65,ALF16_1_1_OTTM,ALF16_1_1_3_OTTM
07_12_17,HGT,1,ALF16,1,1,1,1,4,OTTM,1_1_4,ALF16_1_1_4_OTTM,1_1,55,ALF16_1_1_OTTM,ALF16_1_1_4_OTTM
07_12_17,HGT,1,ALF16,1,1,1,1,5,OTTM,1_1_5,ALF16_1_1_5_OTTM,1_1,25,ALF16_1_1_OTTM,ALF16_1_1_5_OTTM
07_12_17,HGT,1,ALF16,1,1,1,1,6,OTTM,1_1_6,ALF16_1_1_6_OTTM,1_1,65,ALF16_1_1_OTTM,ALF16_1_1_6_OTTM
08_18_17,HGT,2,ALF16,1,1,1,1,1,OTTM,1_1_1,ALF16_1_1_1_OTTM,1_1,52.5,ALF16_1_1_OTTM,ALF16_1_1_1_OTTM
08_18_17,HGT,2,ALF16,1,1,1,1,2,OTTM,1_1_2,ALF16_1_1_2_OTTM,1_1,52.5,ALF16_1_1_OTTM,ALF16_1_1_2_OTTM
08_18_17,HGT,2,ALF16,1,1,1,1,3,OTTM,1_1_3,ALF16_1_1_3_OTTM,1_1,70,ALF16_1_1_OTTM,ALF16_1_1_3_OTTM
08_18_17,HGT,2,ALF16,1,1,1,1,4,OTTM,1_1_4,ALF16_1_1_4_OTTM,1_1,55,ALF16_1_1_OTTM,ALF16_1_1_4_OTTM
08_18_17,HGT,2,ALF16,1,1,1,1,5,OTTM,1_1_5,ALF16_1_1_5_OTTM,1_1,25,ALF16_1_1_OTTM,ALF16_1_1_5_OTTM
08_18_17,HGT,2,ALF16,1,1,1,1,6,OTTM,1_1_6,ALF16_1_1_6_OTTM,1_1,70,ALF16_1_1_OTTM,ALF16_1_1_6_OTTM
10_05_17,HGT,3,ALF16,1,1,1,1,1,OTTM,1_1_1,ALF16_1_1_1_OTTM,1_1,40,ALF16_1_1_OTTM,ALF16_1_1_1_OTTM
10_05_17,HGT,3,ALF16,1,1,1,1,2,OTTM,1_1_2,ALF16_1_1_2_OTTM,1_1,35,ALF16_1_1_OTTM,ALF16_1_1_2_OTTM
10_05_17,HGT,3,ALF16,1,1,1,1,3,OTTM,1_1_3,ALF16_1_1_3_OTTM,1_1,55,ALF16_1_1_OTTM,ALF16_1_1_3_OTTM
10_05_17,HGT,3,ALF16,1,1,1,1,4,OTTM,1_1_4,ALF16_1_1_4_OTTM,1_1,45,ALF16_1_1_OTTM,ALF16_1_1_4_OTTM
10_05_17,HGT,3,ALF16,1,1,1,1,5,OTTM,1_1_5,ALF16_1_1_5_OTTM,1_1,15,ALF16_1_1_OTTM,ALF16_1_1_5_OTTM
10_05_17,HGT,3,ALF16,1,1,1,1,6,OTTM,1_1_6,ALF16_1_1_6_OTTM,1_1,42.5,ALF16_1_1_OTTM,ALF16_1_1_6_OTTM
