date,year,data_type,cut,loc,rep,blk,row,rng,plant_no,name,plant_id,plant_name,check,plot,value,id_by_plot,id_by_plant_aug
07_14_17,2017,VIG,5,ALF16,1,3,3,6,1,OTTM,6_3_1,ALF16_6_3_1_OTTM,Test,6_3,0.075,ALF16_6_3_OTTM,ALF16_6_3_1_OTTM
10_04_17,2017,VIG,7,ALF16,1,1,2,1,1,SIBR,1_2_1,ALF16_1_2_1_SIBR,Test,1_2,0.09,ALF16_1_2_SIBR,ALF16_1_2_1_SIBR
10_04_17,2017,VIG,7,ALF16,1,1,2,1,2,SIBR,1_2_2,ALF16_1_2_2_SIBR,Test,1_2,0.09,ALF16_1_2_SIBR,ALF16_1_2_2_SIBR
10_04_17,2017,VIG,7,ALF16,4,1,22,1,3,EURO,1_22_3,ALF16_1_22_3_EURO,Test,1_22,0.09,ALF16_1_22_EURO,ALF16_1_22_3_EURO
10_04_17,2017,VIG,7,ALF16,4,1,22,1,5,EURO,1_22_5,ALF16_1_22_5_EURO,Test,1_22,0.09,ALF16_1_22_EURO,ALF16_1_22_5_EURO
10_04_17,2017,VIG,7,ALF16,4,1,20,2,5,SIBR,2_20_5,ALF16_2_20_5_SIBR,Test,2_20,0.09,ALF16_2_20_SIBR,ALF16_2_20_5_SIBR
10_04_17,2017,VIG,7,ALF16,1,1,4,2,1,CASIA,2_4_1,ALF16_2_4_1_CASIA,Test,2_4,0.09,ALF16_2_4_CASIA,ALF16_2_4_1_CASIA
10_04_17,2017,VIG,7,ALF16,1,1,6,2,6,CASIA,2_6_6,ALF16_2_6_6_CASIA,Test,2_6,0.09,ALF16_2_6_CASIA,ALF16_2_6_6_CASIA
10_04_17,2017,VIG,7,ALF16,4,2,22,3,6,CASIA,3_22_6,ALF16_3_22_6_CASIA,Test,3_22,0.09,ALF16_3_22_CASIA,ALF16_3_22_6_CASIA
10_04_17,2017,VIG,7,ALF16,1,2,5,3,2,SIBR,3_5_2,ALF16_3_5_2_SIBR,Test,3_5,0.09,ALF16_3_5_SIBR,ALF16_3_5_2_SIBR
10_04_17,2017,VIG,7,ALF16,2,2,9,3,5,CASIA,3_9_5,ALF16_3_9_5_CASIA,Test,3_9,0.09,ALF16_3_9_CASIA,ALF16_3_9_5_CASIA
10_04_17,2017,VIG,7,ALF16,2,2,10,4,4,SIBR,4_10_4,ALF16_4_10_4_SIBR,Test,4_10,0.09,ALF16_4_10_SIBR,ALF16_4_10_4_SIBR
10_04_17,2017,VIG,7,ALF16,1,2,3,4,5,EURO,4_3_5,ALF16_4_3_5_EURO,Test,4_3,0.09,ALF16_4_3_EURO,ALF16_4_3_5_EURO
10_04_17,2017,VIG,7,ALF16,1,2,4,4,6,EURO,4_4_6,ALF16_4_4_6_EURO,Test,4_4,0.09,ALF16_4_4_EURO,ALF16_4_4_6_EURO
10_04_17,2017,VIG,7,ALF16,1,3,1,5,4,SIBR,5_1_4,ALF16_5_1_4_SIBR,Test,5_1,0.09,ALF16_5_1_SIBR,ALF16_5_1_4_SIBR
10_04_17,2017,VIG,7,ALF16,2,3,9,5,4,OTTM,5_9_4,ALF16_5_9_4_OTTM,Test,5_9,0.09,ALF16_5_9_OTTM,ALF16_5_9_4_OTTM
10_04_17,2017,VIG,7,ALF16,2,4,11,7,3,EURO,7_11_3,ALF16_7_11_3_EURO,Test,7_11,0.09,ALF16_7_11_EURO,ALF16_7_11_3_EURO
10_04_17,2017,VIG,7,ALF16,1,4,3,8,1,EURO,8_3_1,ALF16_8_3_1_EURO,Test,8_3,0.09,ALF16_8_3_EURO,ALF16_8_3_1_EURO
10_04_17,2017,VIG,7,ALF16,2,4,7,8,3,CASIA,8_7_3,ALF16_8_7_3_CASIA,Test,8_7,0.09,ALF16_8_7_CASIA,ALF16_8_7_3_CASIA
10_04_17,2017,VIG,7,ALF16,3,1,18,1,4,CASIA,1_18_4,ALF16_1_18_4_CASIA,Test,1_18,0.0947,ALF16_1_18_CASIA,ALF16_1_18_4_CASIA
10_04_17,2017,VIG,7,ALF16,3,2,16,3,2,CASIA,3_16_2,ALF16_3_16_2_CASIA,Test,3_16,0.0947,ALF16_3_16_CASIA,ALF16_3_16_2_CASIA
10_04_17,2017,VIG,7,ALF16,3,3,13,6,2,OTTM,6_13_2,ALF16_6_13_2_OTTM,Test,6_13,0.0947,ALF16_6_13_OTTM,ALF16_6_13_2_OTTM
07_14_17,2017,VIG,5,ALF16,4,1,21,2,3,EURO,2_21_3,ALF16_2_21_3_EURO,Test,2_21,0.15,ALF16_2_21_EURO,ALF16_2_21_3_EURO
07_14_17,2017,VIG,5,ALF16,2,2,10,3,6,EURO,3_10_6,ALF16_3_10_6_EURO,Test,3_10,0.1607,ALF16_3_10_EURO,ALF16_3_10_6_EURO
07_14_17,2017,VIG,5,ALF16,2,2,10,4,4,SIBR,4_10_4,ALF16_4_10_4_SIBR,Test,4_10,0.1607,ALF16_4_10_SIBR,ALF16_4_10_4_SIBR
07_14_17,2017,VIG,5,ALF16,2,3,12,5,4,CASIA,5_12_4,ALF16_5_12_4_CASIA,Test,5_12,0.1607,ALF16_5_12_CASIA,ALF16_5_12_4_CASIA
07_14_17,2017,VIG,5,ALF16,2,3,12,5,5,CASIA,5_12_5,ALF16_5_12_5_CASIA,Test,5_12,0.1607,ALF16_5_12_CASIA,ALF16_5_12_5_CASIA
07_14_17,2017,VIG,5,ALF16,2,3,10,6,2,OTTM,6_10_2,ALF16_6_10_2_OTTM,Test,6_10,0.1607,ALF16_6_10_OTTM,ALF16_6_10_2_OTTM
07_14_17,2017,VIG,5,ALF16,2,4,7,7,4,EURO,7_7_4,ALF16_7_7_4_EURO,Test,7_7,0.1607,ALF16_7_7_EURO,ALF16_7_7_4_EURO
08_02_16,2016,VIG,1,ALF16,3,2,13,3,5,SIBR,3_13_5,ALF16_3_13_5_SIBR,Test,3_13,0.18,ALF16_3_13_SIBR,ALF16_3_13_5_SIBR
08_17_17,2017,VIG,6,ALF16,3,2,16,3,2,CASIA,3_16_2,ALF16_3_16_2_CASIA,Test,3_16,0.18,ALF16_3_16_CASIA,ALF16_3_16_2_CASIA
08_17_17,2017,VIG,6,ALF16,3,2,16,4,4,CASIA,4_16_4,ALF16_4_16_4_CASIA,Test,4_16,0.18,ALF16_4_16_CASIA,ALF16_4_16_4_CASIA
08_17_17,2017,VIG,6,ALF16,2,4,10,7,5,CASIA,7_10_5,ALF16_7_10_5_CASIA,Test,7_10,0.18,ALF16_7_10_CASIA,ALF16_7_10_5_CASIA
08_17_17,2017,VIG,6,ALF16,1,4,6,8,4,CASIA,8_6_4,ALF16_8_6_4_CASIA,Test,8_6,0.18,ALF16_8_6_CASIA,ALF16_8_6_4_CASIA
07_14_17,2017,VIG,5,ALF16,1,4,6,8,4,CASIA,8_6_4,ALF16_8_6_4_CASIA,Test,8_6,0.1875,ALF16_8_6_CASIA,ALF16_8_6_4_CASIA
08_17_17,2017,VIG,6,ALF16,4,1,20,2,5,SIBR,2_20_5,ALF16_2_20_5_SIBR,Test,2_20,0.1895,ALF16_2_20_SIBR,ALF16_2_20_5_SIBR
08_17_17,2017,VIG,6,ALF16,4,1,22,2,4,SIBR,2_22_4,ALF16_2_22_4_SIBR,Test,2_22,0.1895,ALF16_2_22_SIBR,ALF16_2_22_4_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,20,3,6,SIBR,3_20_6,ALF16_3_20_6_SIBR,Test,3_20,0.1895,ALF16_3_20_SIBR,ALF16_3_20_6_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,22,3,5,CASIA,3_22_5,ALF16_3_22_5_CASIA,Test,3_22,0.1895,ALF16_3_22_CASIA,ALF16_3_22_5_CASIA
08_17_17,2017,VIG,6,ALF16,4,2,22,4,4,EURO,4_22_4,ALF16_4_22_4_EURO,Test,4_22,0.1895,ALF16_4_22_EURO,ALF16_4_22_4_EURO
08_17_17,2017,VIG,6,ALF16,4,2,24,4,1,SIBR,4_24_1,ALF16_4_24_1_SIBR,Test,4_24,0.1895,ALF16_4_24_SIBR,ALF16_4_24_1_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,24,4,4,SIBR,4_24_4,ALF16_4_24_4_SIBR,Test,4_24,0.1895,ALF16_4_24_SIBR,ALF16_4_24_4_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,24,4,5,SIBR,4_24_5,ALF16_4_24_5_SIBR,Test,4_24,0.1895,ALF16_4_24_SIBR,ALF16_4_24_5_SIBR
08_17_17,2017,VIG,6,ALF16,4,2,24,4,6,SIBR,4_24_6,ALF16_4_24_6_SIBR,Test,4_24,0.1895,ALF16_4_24_SIBR,ALF16_4_24_6_SIBR
08_17_17,2017,VIG,6,ALF16,4,3,21,5,5,SIBR,5_21_5,ALF16_5_21_5_SIBR,Test,5_21,0.1895,ALF16_5_21_SIBR,ALF16_5_21_5_SIBR
08_17_17,2017,VIG,6,ALF16,4,3,20,6,2,EURO,6_20_2,ALF16_6_20_2_EURO,Test,6_20,0.1895,ALF16_6_20_EURO,ALF16_6_20_2_EURO
08_17_17,2017,VIG,6,ALF16,4,4,21,7,4,EURO,7_21_4,ALF16_7_21_4_EURO,Test,7_21,0.1895,ALF16_7_21_EURO,ALF16_7_21_4_EURO
08_17_17,2017,VIG,6,ALF16,4,4,24,8,1,CASIA,8_24_1,ALF16_8_24_1_CASIA,Test,8_24,0.1895,ALF16_8_24_CASIA,ALF16_8_24_1_CASIA
10_21_16,2016,VIG,3,ALF16,2,1,12,2,6,CASIA,2_12_6,ALF16_2_12_6_CASIA,Test,2_12,0.2118,ALF16_2_12_CASIA,ALF16_2_12_6_CASIA
10_21_16,2016,VIG,3,ALF16,3,1,13,2,1,OTTM,2_13_1,ALF16_2_13_1_OTTM,Test,2_13,0.2118,ALF16_2_13_OTTM,ALF16_2_13_1_OTTM
10_21_16,2016,VIG,3,ALF16,3,1,15,2,1,CASIA,2_15_1,ALF16_2_15_1_CASIA,Test,2_15,0.2118,ALF16_2_15_CASIA,ALF16_2_15_1_CASIA
10_21_16,2016,VIG,3,ALF16,3,1,15,2,2,CASIA,2_15_2,ALF16_2_15_2_CASIA,Test,2_15,0.2118,ALF16_2_15_CASIA,ALF16_2_15_2_CASIA
10_21_16,2016,VIG,3,ALF16,3,1,18,2,1,SIBR,2_18_1,ALF16_2_18_1_SIBR,Test,2_18,0.2118,ALF16_2_18_SIBR,ALF16_2_18_1_SIBR
10_21_16,2016,VIG,3,ALF16,1,2,1,3,5,OTTM,3_1_5,ALF16_3_1_5_OTTM,Test,3_1,0.2118,ALF16_3_1_OTTM,ALF16_3_1_5_OTTM
10_21_16,2016,VIG,3,ALF16,3,2,14,3,1,OTTM,3_14_1,ALF16_3_14_1_OTTM,Test,3_14,0.2118,ALF16_3_14_OTTM,ALF16_3_14_1_OTTM
